Wave,#,Company,Name,Title,LinkedIn URL,Email,Phone,Primary Target,Role Relevance,Company Context
1,11,Crossfuze,Nick McGillivray,President & Chief Revenue Officer,,,,No,"Owns global revenue and sales strategy. ServiceNow-focused since Focus Group Europe days. In role since 2017. Decision authority for partner-led solution additions.","100% ServiceNow Elite Partner. 2500+ implementations. 2025 Elite Consulting & Implementation Partner of the Year. Active AI practice (Now Assist + Virtual Agent). Managed services arm Virteva (500 people)."
1,12,Crossfuze,Dan Rosedahl,"SVP & GM, Virteva Connected Solutions",https://www.linkedin.com/in/danrosedahl/,,,Yes,"Leads 500-person managed services division. Post-implementation VSA upsell is the natural landing zone for a Rita partnership.","100% ServiceNow Elite Partner. 2500+ implementations. 2025 Elite Consulting & Implementation Partner of the Year. Active AI practice (Now Assist + Virtual Agent). Managed services arm Virteva (500 people)."
1,13,Crossfuze,Allison Shirey,"SVP, ServiceNow Delivery (North America)",https://www.linkedin.com/in/allieshirey/,,,No,"Certified Master Architect (CMA). 14 years in ServiceNow ecosystem. Approves new tooling for delivery teams. Technical validator.","100% ServiceNow Elite Partner. 2500+ implementations. 2025 Elite Consulting & Implementation Partner of the Year. Active AI practice (Now Assist + Virtual Agent). Managed services arm Virteva (500 people)."
1,14,Crossfuze,James Farrer,"Director, Applications & Product Development",https://www.linkedin.com/in/thejamesfarrer/,,,No,"Owns internal product development and Turnkey accelerator solutions. Most likely person evaluating AI/automation capabilities to package for customers.","100% ServiceNow Elite Partner. 2500+ implementations. 2025 Elite Consulting & Implementation Partner of the Year. Active AI practice (Now Assist + Virtual Agent). Managed services arm Virteva (500 people)."
1,15,Ondaro (formerly Cask NX),Jason Whitesides,Chief Revenue Officer,https://www.linkedin.com/in/jasonwhitesides/,,,Yes,"Mandate explicitly includes expanding strategic partnerships and applying AI on ServiceNow. 30+ years in tech revenue (ex-Cognizant ServiceNow AMS Sales, ex-Thirdera VP Sales). Most natural alliance entry point.","Pure-play ServiceNow Elite Partner. Rebranded from Cask NX Aug 2025. HQ San Diego. Operations across Americas. Boutique profile similar to KeenStack."
1,16,Ondaro (formerly Cask NX),Jeff Gregory,CEO,https://www.linkedin.com/in/jwgregory/,,,No,"Veteran ServiceNow ecosystem executive. Former CIO at Thirdera, former CEO of NovoScale. Appointed CEO Aug 2025. Executive sponsor if CRO-level conversation gains traction.","Pure-play ServiceNow Elite Partner. Rebranded from Cask NX Aug 2025. HQ San Diego. Operations across Americas. Boutique profile similar to KeenStack."
1,17,Ondaro (formerly Cask NX),Stephanie Otto,"Global Director, Strategy & Innovation",https://www.linkedin.com/in/stephanieotto/,,,No,"Leads strategy and innovation. Active in GenAI thought leadership for ServiceNow. Evaluates emerging VSA technologies for Ondaro's innovation roadmap.","Pure-play ServiceNow Elite Partner. Rebranded from Cask NX Aug 2025. HQ San Diego. Operations across Americas. Boutique profile similar to KeenStack."
1,18,Ondaro (formerly Cask NX),Elysia Gerber,Chief Product & Marketing Officer,https://www.linkedin.com/in/elysiagerber/,,,No,"Leads product portfolio and marketing including AI-powered solutions. Evaluates how new technology partnerships enhance the Ondaro service catalog.","Pure-play ServiceNow Elite Partner. Rebranded from Cask NX Aug 2025. HQ San Diego. Operations across Americas. Boutique profile similar to KeenStack."
1,19,Ondaro (formerly Cask NX),Chris Chute,Chief Delivery Officer,https://www.linkedin.com/in/chris-chute-35170a9,,,No,"Oversees global delivery across Americas. Former Interim President of US Business Unit. Delivery-side validation — his teams would implement any partner solution.","Pure-play ServiceNow Elite Partner. Rebranded from Cask NX Aug 2025. HQ San Diego. Operations across Americas. Boutique profile similar to KeenStack."
2,20,Pathways Consulting Group,Mary Manzo,CEO,https://www.linkedin.com/in/mary-manzo-23569514/,,,Yes,"Founder and CEO. Inc Magazine Best CEO 2023. Drives strategy and delivery. Partner decisions roll through her.","Woman-owned Elite Partner. 100% ServiceNow since 2010. Merged with Sollus Jan 2025. ISG 2025 ServiceNow Ecosystem Partners Report. Pure-play, independent, growth-stage."
2,21,Pathways Consulting Group,Jeff Giovinazzo,Co-President & CRO,,,,Yes,"Leads go-to-market, business development, and ServiceNow channel sales. Former CEO of JIT (Elite pure-play, founded 2010) then Sollus then Pathways. Deep channel expertise.","Woman-owned Elite Partner. 100% ServiceNow since 2010. Merged with Sollus Jan 2025. ISG 2025 ServiceNow Ecosystem Partners Report. Pure-play, independent, growth-stage."
2,22,Pathways Consulting Group,Craig McLeod,"Director, Customer Success",,,,No,"Owns customer relationships and post-implementation value. Natural landing for ongoing VSA upsell conversations.","Woman-owned Elite Partner. 100% ServiceNow since 2010. Merged with Sollus Jan 2025. ISG 2025 ServiceNow Ecosystem Partners Report. Pure-play, independent, growth-stage."
2,23,Plat4mation,Wytze Rijkmans,Chief Revenue Officer,https://www.linkedin.com/today/author/wytzerijkmans,,,Yes,"New CRO (Aug 2025) hired to scale commercial operations globally. Ex-HP, Tanium, and ServiceNow. Decades of enterprise go-to-market experience. Partnership conversations land here.","Europe's largest independent pure-play ServiceNow Elite Partner. 650+ specialists, 13 countries. Only company with Triple Gold distinction. ServiceNow strategic investment (Feb 2024)."
2,24,Plat4mation,Elmer de Valk,CEO & Co-Founder,https://www.linkedin.com/in/elmerdevalk/,,,No,"Co-founder. Collaborates directly with ServiceNow on innovative solutions. Executive sponsor for strategic partnerships.","Europe's largest independent pure-play ServiceNow Elite Partner. 650+ specialists, 13 countries. Only company with Triple Gold distinction. ServiceNow strategic investment (Feb 2024)."
2,25,Plat4mation,Thijs Daemen,CTO,https://www.linkedin.com/in/thijsdaemen/,,,No,"Technical direction and platform strategy. Evaluates partner technology fit.","Europe's largest independent pure-play ServiceNow Elite Partner. 650+ specialists, 13 countries. Only company with Triple Gold distinction. ServiceNow strategic investment (Feb 2024)."
2,26,Plat4mation,Raymond Beijerling,COO / Managing Partner,,,,No,"Operational and consulting leadership. Guides delivery methodology. Would evaluate VSA tooling for client engagements.","Europe's largest independent pure-play ServiceNow Elite Partner. 650+ specialists, 13 countries. Only company with Triple Gold distinction. ServiceNow strategic investment (Feb 2024)."
2,27,Thirdera (Cognizant),Jason Wojahn,CEO & Co-Founder,,,,Yes,"Built Thirdera from 0 to 600+ in one year. Former Accenture Senior MD / Global ServiceNow Practice Lead ($350M revenue, 6000 employees). Still leading post-Cognizant acquisition.","Formed from Cerna Solutions + Evergreen + NovoScale (2021). Acquired by Cognizant Jan 2024. 940+ employees, 14000 certifications. Largest credentialed ServiceNow partner globally."
2,28,Thirdera (Cognizant),Marc Talluto,Chairman,,,,No,"Board-level strategic influence. Co-founded Thirdera. Sets partnership and investment direction.","Formed from Cerna Solutions + Evergreen + NovoScale (2021). Acquired by Cognizant Jan 2024. 940+ employees, 14000 certifications. Largest credentialed ServiceNow partner globally."
2,29,Thirdera (Cognizant),Jon (verify last name),"VP, Alliances & Corporate Development",,,,No,"Manages ServiceNow and ecosystem relationships. 10+ years in ServiceNow partner ecosystem (Navigis, Cloud Sherpas, Accenture). Verify full name on LinkedIn before outreach.","Formed from Cerna Solutions + Evergreen + NovoScale (2021). Acquired by Cognizant Jan 2024. 940+ employees, 14000 certifications. Largest credentialed ServiceNow partner globally."
2,30,iTSM Group,Siegfried Riedel,CFO / Group Leadership,,,,No,"Group leadership team. Strategic positioning and long-term development. Limited public leadership data — use as entry point to ask for ServiceNow practice or alliances lead.","German Elite Partner (HQ Frankfurt area). Subsidiaries in Austria, Switzerland, Netherlands, Romania. 200+ employees, 750 customers. Founded 2000. Strong DACH market presence."
2,31,iTSM Group,Sebastian Biebl,ServiceNow Practice (Senior),,,,No,"Represents iTSM Group at ServiceNow expert panels. Likely senior consultant or practice lead. Verify title on LinkedIn before outreach.","German Elite Partner (HQ Frankfurt area). Subsidiaries in Austria, Switzerland, Netherlands, Romania. 200+ employees, 750 customers. Founded 2000. Strong DACH market presence."
2,32,Konversational,Richard Guy,Co-Founder & Co-CEO,https://www.linkedin.com/in/richardguy1/,,,Yes,"Co-founded Konversational. Previously built Focus Group Europe (ServiceNow reseller, 200+ clients, acquired by Accenture). Deep ServiceNow ecosystem relationships.","Founded 2020 by ServiceNow veterans. Elite Partner, Customer Workflow specialist. Ireland/UK/France/Switzerland. Expanding into US (New York). Targeting EUR20M revenue 2026."
2,33,Konversational,John Gilleran,Co-Founder & Co-CEO,,,,No,"Leads strategic vision and operational excellence. Serial ServiceNow entrepreneur.","Founded 2020 by ServiceNow veterans. Elite Partner, Customer Workflow specialist. Ireland/UK/France/Switzerland. Expanding into US (New York). Targeting EUR20M revenue 2026."
2,34,Konversational,Andrew Paolino,US Sales Lead,,,,Yes,"Leads US sales strategy from New York office. Co-founded Highmetric (acquired, became NewRocket). Deep ServiceNow customer workflow expertise.","Founded 2020 by ServiceNow veterans. Elite Partner, Customer Workflow specialist. Ireland/UK/France/Switzerland. Expanding into US (New York). Targeting EUR20M revenue 2026."
2,35,Konversational,Chris Grassi,US Operations Lead,https://www.linkedin.com/in/chrisgrassi/,,,No,"Oversees daily US operations. Co-founded Highmetric with Paolino. Drives customer success and talent acquisition in US.","Founded 2020 by ServiceNow veterans. Elite Partner, Customer Workflow specialist. Ireland/UK/France/Switzerland. Expanding into US (New York). Targeting EUR20M revenue 2026."
